sampleIndex,timeUs,statusFlags,effectiveStatusFlags,eventMarker,eventId,Debug_IqRef
9,90000,1,1,before_window,evt_9cc5110f-3874-49d1-b8a0-4326d9bbfd73,9
10,100000,1,1,before_window,evt_9cc5110f-3874-49d1-b8a0-4326d9bbfd73,10
11,110000,1,1,before_window,evt_9cc5110f-3874-49d1-b8a0-4326d9bbfd73,11
12,120000,1,1,before_window,evt_9cc5110f-3874-49d1-b8a0-4326d9bbfd73,12
13,130000,1,65,write_nearby,evt_9cc5110f-3874-49d1-b8a0-4326d9bbfd73,13
14,140000,1,193,variable_write,evt_9cc5110f-3874-49d1-b8a0-4326d9bbfd73,14
15,150000,1,193,write_in_progress,evt_9cc5110f-3874-49d1-b8a0-4326d9bbfd73,15
16,160000,1,193,write_in_progress,evt_9cc5110f-3874-49d1-b8a0-4326d9bbfd73,16
17,170000,1,193,write_in_progress,evt_9cc5110f-3874-49d1-b8a0-4326d9bbfd73,17
18,180000,1,193,write_in_progress,evt_9cc5110f-3874-49d1-b8a0-4326d9bbfd73,18
