sampleIndex,tick,statusFlags,variable,value
0,5566374800,1,g_hssDbgCounterFocIsr,19240
0,5566374800,1,g_hssDbgWriteProbe,2779077210
10,5666374800,17,g_hssDbgCounterFocIsr,19302
10,5666374800,17,g_hssDbgWriteProbe,2779077210
20,5766374800,17,g_hssDbgCounterFocIsr,19368
20,5766374800,17,g_hssDbgWriteProbe,2779077210
30,5866374800,17,g_hssDbgCounterFocIsr,19435
30,5866374800,17,g_hssDbgWriteProbe,2779077210
40,5966374800,17,g_hssDbgCounterFocIsr,19502
40,5966374800,17,g_hssDbgWriteProbe,2779077210
50,6066374800,17,g_hssDbgCounterFocIsr,19569
50,6066374800,17,g_hssDbgWriteProbe,2779077210
60,6166374800,17,g_hssDbgCounterFocIsr,19636
60,6166374800,17,g_hssDbgWriteProbe,2779077210
70,6266374800,17,g_hssDbgCounterFocIsr,19703
70,6266374800,17,g_hssDbgWriteProbe,2779077210
80,6366374800,17,g_hssDbgCounterFocIsr,19769
80,6366374800,17,g_hssDbgWriteProbe,2779077210
90,6466374800,17,g_hssDbgCounterFocIsr,19836
90,6466374800,17,g_hssDbgWriteProbe,1
100,6566374800,17,g_hssDbgCounterFocIsr,19903
100,6566374800,17,g_hssDbgWriteProbe,1
110,6666374800,17,g_hssDbgCounterFocIsr,19970
110,6666374800,17,g_hssDbgWriteProbe,1
120,6766374800,17,g_hssDbgCounterFocIsr,20036
120,6766374800,17,g_hssDbgWriteProbe,1
130,6866374800,17,g_hssDbgCounterFocIsr,20103
130,6866374800,17,g_hssDbgWriteProbe,1
